PROGRAMA_PPTAL,ACT_OBRA_ACCINV,GRUPO_FN,META,AVAN_FISICO_SEM,UBIGEO,SUBGENERICA_DET,MTO_PIA
2,6,5,19,2,170199,20,0
1,2,2,8,6,60199,19,8816
2,6,5,17,1,150303,19,0
1,2,2,16,6,190199,9,0
2,6,5,24,4,220199,20,0
2,6,5,13,41,100101,17,5871
1,2,2,12,6,120199,22,85553
1,2,2,9,6,80199,22,202384
2,6,5,1,61303,150199,19,42930
1,2,2,21,6,250199,15,2334
2,6,5,15,10,130101,17,13791
1,2,2,23,6,150101,20,0
2,6,5,6,36,30199,13,2452
2,6,5,6,36,30199,17,19992
2,6,5,19,2,170199,17,1111
1,2,2,18,6,210199,7,121346
1,2,2,15,6,170199,19,1303
2,6,5,22,12,200199,16,0
2,6,5,8,32,50101,21,122
1,2,2,2,6,10199,23,767
1,2,2,9,6,80199,1,1551
2,6,5,13,41,100101,20,1008000
1,2,2,18,6,210199,17,0
2,6,5,20,2,180199,15,3010
1,2,2,16,6,190199,4,299
1,2,2,7,6,50699,7,0
1,2,2,5,6,40199,4,613
1,2,2,9,6,80199,4,874
2,6,5,13,41,100101,20,0
2,6,5,12,51,90199,9,68243
2,6,5,25,4,230199,18,2900
1,2,2,15,6,170199,7,230
2,6,5,5,19,20199,11,47319
1,2,2,15,6,170199,22,34037
1,2,2,20,6,230199,19,1188
2,6,5,12,51,90199,20,0
1,2,2,3,6,20199,1,613
1,2,2,11,6,100199,17,230
2,6,5,4,16,10199,21,182
2,6,5,24,4,220199,22,206649
2,6,5,5,19,20199,18,13773
1,2,2,16,6,190199,17,0
1,2,2,23,6,150101,14,173603
2,6,5,14,26,120101,11,45972
1,2,2,16,6,190199,20,2333
1,2,2,8,6,60199,4,767
1,2,2,5,6,40199,4,414
2,6,5,18,40,160199,15,16146
1,2,2,21,6,250199,23,2300
1,2,2,2,6,10199,4,383
1,2,2,4,6,30199,14,16800
2,6,5,16,1,140199,20,0
2,6,5,6,36,30199,7,14592
2,6,5,17,1,150303,11,105
2,6,5,23,61,210199,17,10980
1,2,2,20,6,230199,4,843
2,6,5,18,40,160199,13,4399
2,6,5,27,6,150101,4,47827
2,6,5,4,16,10199,22,354018
1,2,2,9,6,80199,15,1132
1,2,2,18,6,210199,20,0
1,2,2,9,6,80199,13,268
1,2,2,2,6,10199,20,0
1,2,2,18,6,210199,15,3533
2,8,5,1,1,210213,2,0
1,2,2,18,6,210199,11,200
1,2,2,18,6,210199,7,200
2,6,5,17,1,150303,17,0
1,2,2,1,6,150101,13,20789
2,8,5,1,1,210701,2,0
2,6,5,6,36,30199,20,76989
1,2,2,19,6,220199,7,200
1,2,2,4,6,30199,23,9199
1,2,2,6,6,50199,11,200
1,2,2,13,6,130199,7,0
1,2,2,6,6,50199,20,2333
1,2,2,6,6,50199,17,199
1,2,2,21,6,250199,20,0
1,2,2,12,6,120199,17,0
1,2,2,21,6,250199,11,599
2,6,5,20,2,180199,20,0
2,6,5,26,6,250199,20,4666
2,6,5,3,0,150101,19,0
1,3,2,1,6,150101,20,11665
1,2,2,7,6,50699,7,700
2,6,5,19,2,170199,20,84000
2,6,5,14,26,120101,7,67247
1,2,2,20,6,230199,4,350
1,2,2,8,6,60199,19,6899
2,6,5,12,51,90199,16,0
2,6,5,20,2,180199,17,360
2,6,5,9,19,50601,17,40026
2,6,5,10,20,60199,20,10200
2,6,5,5,19,20199,16,0
1,3,2,1,6,150101,20,3000
1,1,1,1,6,150101,4,10000
2,6,5,4,16,10199,7,15410
2,6,5,18,40,160199,11,239411
2,6,5,14,26,120101,17,23046
1,2,2,19,6,220199,4,230
2,6,5,1,61303,150199,15,3119
1,2,2,22,6,150101,4,8800
2,6,5,7,17,40199,13,321000
2,6,5,1,61303,150199,19,1500
1,2,2,15,6,170199,7,0
2,6,5,17,1,150303,18,725
2,6,5,14,26,120101,7,143380
1,2,2,14,6,160199,7,920
2,6,5,4,16,10199,17,4904
2,6,5,4,16,10199,11,45355
2,6,5,24,4,220199,23,125
1,2,2,9,6,80199,7,920
2,6,5,20,0,180199,7,0
2,6,5,4,0,10199,13,418
1,2,2,18,0,210199,13,2300
1,2,2,4,0,30199,9,764
2,6,5,5,0,20199,15,9043
2,6,5,4,0,10199,15,3784
2,6,5,23,0,210199,21,546
2,6,5,12,0,90199,15,10982
2,6,5,10,0,60199,7,720
2,6,5,6,0,30199,9,45339
2,6,5,3,0,150101,19,2761
1,2,2,12,0,120199,17,92
2,6,5,26,0,250199,21,907
2,6,5,26,0,250199,15,618
2,6,5,22,0,200199,9,4935
2,6,5,21,0,190199,21,1360
2,6,5,3,0,150101,19,2356
1,2,2,14,0,160199,13,3067
1,2,2,13,0,130199,21,456
1,2,2,8,0,60199,21,399
2,6,5,19,0,170199,21,302
2,6,5,8,0,50101,7,20520
2,6,5,22,0,200199,15,4348
1,2,2,11,0,100199,18,192
1,2,2,8,6,60199,7,610
2,6,5,23,61,210199,19,0
1,2,2,23,6,150101,20,13998
2,6,5,7,17,40199,20,32662
2,6,5,14,26,120101,11,4270
2,6,5,12,51,90199,19,68381
1,2,2,9,6,80199,19,19406
2,6,5,18,40,160199,20,12600
1,2,2,22,6,150101,20,6999
2,6,5,1,61303,150199,23,0
2,6,5,16,1,140199,20,0
1,2,2,18,6,210199,20,0
1,2,2,17,6,200199,4,4133
2,6,5,4,16,10199,11,2737
1,2,2,22,6,150101,9,0
1,4,3,1,6,150101,20,0
1,2,2,11,6,100199,11,400
2,6,5,15,10,130101,20,16330
2,6,5,7,17,40199,23,2448
2,6,5,9,19,50601,11,2541
2,6,5,7,17,40199,22,301743
2,6,5,26,6,250199,23,0
1,2,2,21,6,250199,4,613
1,2,2,1,6,150101,19,0
1,2,2,3,6,20199,4,460
2,6,5,6,36,30199,17,54020
2,6,5,1,61303,150199,15,2121
2,6,5,6,36,30199,15,87868
2,6,5,20,2,180199,11,428
1,2,2,2,6,10199,7,2074
1,2,2,10,6,90199,19,21044
1,2,2,12,6,120199,4,800
1,2,2,5,6,40199,20,2333
2,6,5,17,1,150303,20,2333
2,6,5,15,10,130101,18,7974
2,6,5,14,26,120101,20,37328
1,2,2,18,6,210199,15,4652
1,2,2,11,6,100199,20,2333
2,6,5,22,12,200199,23,1491
1,2,2,15,6,170199,20,1200
2,6,5,20,2,180199,11,4691
1,2,2,6,6,50199,7,121346
2,6,5,9,19,50601,22,260182
1,2,2,1,6,150101,4,10941
2,6,5,5,19,20199,17,22898
2,6,5,17,1,150303,13,659
1,2,2,11,6,100199,19,16145
2,6,5,19,2,170199,11,10943
2,6,5,10,20,60199,13,526
2,6,5,6,36,30199,21,549
1,2,2,8,6,60199,20,0
2,6,5,5,19,20199,9,0
2,6,5,25,4,230199,20,0
1,2,2,1,6,150101,17,500
2,6,5,27,6,150101,19,0
1,2,2,6,6,50199,14,24000
2,6,5,14,26,120101,23,44935
1,2,2,17,6,200199,15,0
1,1,1,1,6,150101,20,16331
1,2,2,11,6,100199,20,0
2,6,5,21,9,190199,7,0
1,2,2,5,6,40199,7,872
1,2,2,10,6,90199,1,575
2,6,5,21,9,190199,13,66000
2,6,5,22,12,200199,7,128254
1,2,2,1,6,150101,5,0
2,6,5,5,19,20199,17,8617
2,6,5,11,63,80199,11,8422
2,6,5,10,20,60199,16,0
2,6,5,5,19,20199,11,1560
2,6,5,4,16,10199,20,0
2,6,5,18,40,160199,20,0
1,2,2,12,6,120199,15,1603
2,6,5,22,12,200199,13,84300
2,5,5,17,0,100507,8,0
1,2,2,14,6,160199,19,30760
1,2,2,17,6,200199,7,5749
1,2,2,3,6,20199,19,2546
1,2,2,16,6,190199,23,7973
1,2,2,3,6,20199,7,0
2,6,5,12,51,90199,17,16320
2,6,5,22,12,200199,17,2880
1,2,2,15,6,170199,4,675
2,6,5,12,51,90199,13,5149
1,2,2,11,6,100199,15,2497
2,6,5,4,16,10199,17,7775
2,6,5,27,6,150101,19,4752
2,6,5,22,12,200199,13,543
2,6,5,7,17,40199,9,20710
2,6,5,19,2,170199,13,35621
2,6,5,21,9,190199,20,20997
2,6,5,7,17,40199,20,0
2,6,5,18,40,160199,11,8726
2,5,5,4,0,120606,8,406078
2,6,5,15,10,130101,7,35227
2,6,5,15,10,130101,15,18592
1,2,2,16,6,190199,22,34037
2,6,5,9,19,50601,13,21118
1,2,2,14,6,160199,20,354000
2,6,5,26,6,250199,12,12000
1,2,2,1,6,150101,10,0
1,2,2,18,6,210199,1,2039
2,6,5,9,19,50601,18,13773
1,2,2,10,6,90199,20,600
1,2,2,19,6,220199,19,4599
2,6,5,6,36,30199,19,0
1,2,2,7,6,50699,1,460
2,6,5,27,6,150101,4,28898
2,6,5,11,63,80199,20,0
1,2,2,5,6,40199,4,200
2,6,5,10,20,60199,11,2524
2,6,5,24,4,220199,13,3604
2,6,5,4,16,10199,20,7200
1,2,2,9,6,80199,15,3814
1,2,2,19,6,220199,23,1533
1,2,2,18,6,210199,20,1200
2,6,5,8,32,50101,13,332000
1,2,2,13,6,130199,15,11347
2,6,5,27,6,150101,20,0
1,2,2,3,6,20199,7,200
1,4,3,1,6,150101,6,0
1,2,2,21,6,250199,20,0
2,6,5,14,26,120101,6,0
2,6,5,4,16,10199,15,21692
1,2,2,2,6,10199,7,1227
2,6,5,20,2,180199,17,8754
2,6,5,22,12,200199,17,27453
2,6,5,11,63,80199,19,0
2,6,5,10,20,60199,19,0
1,2,2,1,6,150101,13,36471
2,6,5,11,63,80199,13,6851
1,2,2,13,6,130199,4,6632
1,2,2,17,6,200199,20,2333
1,2,2,12,6,120199,4,1035
1,2,2,17,6,200199,14,36000
2,6,5,19,2,170199,20,0
2,6,5,13,41,100101,13,7876
1,2,2,15,6,170199,20,168000
2,6,5,3,0,150101,20,34995
2,6,5,15,10,130101,15,26036
1,2,2,5,6,40199,7,0
1,2,2,6,6,50199,7,1500
2,6,5,18,40,160199,17,39015
1,2,2,4,6,30199,7,2196
2,6,5,25,4,230199,7,10734
1,2,2,19,6,220199,20,0
1,1,1,1,0,150101,19,0
2,8,5,1,0,210108,2,0
1,3,2,1,0,150101,19,0
2,6,5,24,0,220199,13,2380
2,6,5,12,0,90199,7,69530
1,2,2,21,0,250199,21,56
2,6,5,23,0,210199,21,9217
2,6,5,23,0,210199,15,32037
2,6,5,21,0,190199,7,13520
2,6,5,11,0,80199,21,9518
2,6,5,6,0,30199,7,36696
2,6,5,6,0,30199,21,5439
1,2,2,3,0,20199,21,629
2,6,5,24,0,220199,7,3863
2,6,5,7,0,40199,15,3846
1,2,2,12,0,120199,21,5446
1,2,2,2,0,10199,21,56
2,5,5,8,0,160804,8,130000
1,2,2,13,0,130199,17,230
2,6,5,14,0,120101,7,13680
2,6,5,9,0,50601,21,85
2,6,5,7,0,40199,21,2569
2,6,5,22,0,200199,7,5794
2,6,5,15,0,130101,13,108
2,6,5,11,0,80199,18,45668
2,6,5,9,0,50601,7,13680
2,6,5,23,61,210199,15,94513
1,2,2,19,6,220199,20,0
1,2,2,10,6,90199,7,0
2,5,5,16,0,100702,8,0
2,6,5,12,51,90199,22,878532
2,6,5,3,0,150101,20,1614000
2,6,5,13,41,100101,20,16800
2,6,5,23,61,210199,17,43500
1,2,2,3,6,20199,19,613
2,6,5,12,51,90199,20,1620000
1,2,2,11,6,100199,20,0
1,2,2,19,6,220199,15,3617
2,6,5,8,32,50101,15,49581
1,2,2,4,6,30199,7,1840
1,2,2,10,6,90199,15,4505
2,6,5,24,4,220199,17,5492
1,2,2,1,6,150101,12,350500
1,3,2,1,6,150101,22,140050
1,2,2,5,6,40199,1,383
1,2,2,14,6,160199,20,9332
1,2,2,13,6,130199,20,0
1,2,2,17,6,200199,11,470
2,5,5,13,0,160107,8,0
1,2,2,16,6,190199,4,1058
1,0,0,1,6,150101,22,551445
2,6,5,7,17,40199,20,8400
2,6,5,5,19,20199,15,46378
1,2,2,4,6,30199,15,8057
2,6,5,12,51,90199,11,13088
1,2,2,4,6,30199,20,168000
2,6,5,25,4,230199,16,0
2,6,5,18,40,160199,6,0
2,6,5,11,63,80199,19,45041
2,6,5,16,1,140199,23,0
1,2,2,4,6,30199,4,533
1,2,2,17,6,200199,17,0
2,6,5,15,10,130101,17,0
1,2,2,1,6,150101,14,971753
2,6,5,21,9,190199,13,7942
2,6,5,5,19,20199,20,0
2,6,5,3,0,150101,20,0
1,2,2,15,6,170199,15,165
1,2,2,8,6,60199,20,2333
1,2,2,7,6,50699,4,1150
2,6,5,23,61,210199,20,28200
1,2,2,10,6,90199,23,2808
2,6,5,19,2,170199,7,2871
1,2,2,14,6,160199,20,0
1,2,2,16,6,190199,15,2090
1,2,2,8,6,60199,22,79114
2,6,5,10,20,60199,13,96000
1,2,2,3,6,20199,20,0
1,2,2,22,6,150101,13,0
1,2,2,1,6,150101,7,4487
1,2,2,14,6,160199,23,4140
2,6,5,13,41,100101,13,43250
1,2,2,1,6,150101,16,0
2,6,5,8,32,50101,7,29996
2,6,5,10,20,60199,20,0
2,6,5,18,40,160199,20,828000
2,6,5,9,19,50601,7,32989
2,6,5,24,4,220199,7,0
1,2,2,8,6,60199,11,726
1,2,2,14,6,160199,14,52000
1,0,0,1,6,150101,19,0
1,2,2,12,6,120199,19,0
2,6,5,4,16,10199,20,27996
2,6,5,12,51,90199,23,5443
2,6,5,23,61,210199,11,7706
2,6,5,9,19,50601,23,1944
1,2,2,13,6,130199,14,0
1,4,3,1,6,150101,19,0
1,2,2,9,6,80199,20,0
1,2,2,8,6,60199,7,0
1,2,2,21,6,250199,19,1533
1,4,3,1,6,150101,4,4000
2,6,5,26,6,250199,11,513
1,0,0,1,6,150101,20,13998
1,2,2,17,6,200199,20,108000
1,2,2,3,6,20199,17,153
1,2,2,20,6,230199,15,1328
1,4,3,1,6,150101,20,0
1,2,2,16,6,190199,7,121346
2,6,5,11,63,80199,11,672421
2,6,5,13,41,100101,11,0
2,6,5,25,4,230199,23,1359
1,2,2,1,6,150101,7,681344
2,6,5,15,10,130101,20,252000
1,2,2,20,6,230199,1,751
1,2,2,21,6,250199,7,460
2,6,5,10,20,60199,22,392905
1,2,2,7,6,50699,20,0
1,2,2,18,6,210199,7,690
2,6,5,22,12,200199,11,24684
2,6,5,1,61303,150199,20,3000
1,2,2,5,6,40199,19,2300
2,6,5,22,12,200199,7,39150
1,1,1,1,6,150101,19,66377
1,2,2,5,6,40199,7,767
2,6,5,1,61303,150199,21,2265
1,2,2,17,6,200199,7,200
1,2,2,14,6,160199,4,1073
2,6,5,21,9,190199,17,4998
1,2,2,19,6,220199,11,400
2,6,5,23,61,210199,7,0
1,2,2,18,6,210199,23,5829
2,6,5,24,4,220199,17,1309
1,3,2,1,6,150101,19,0
1,2,2,5,6,40199,23,3291
2,6,5,11,63,80199,20,125982
2,6,5,7,17,40199,16,0
2,6,5,23,61,210199,19,0
1,2,2,12,6,120199,7,200
2,6,5,10,20,60199,18,14498
2,6,5,17,1,150303,11,109
2,6,5,8,32,50101,18,23197
2,6,5,24,4,220199,20,0
2,6,5,22,12,200199,21,155
1,2,2,9,6,80199,14,36000
1,3,2,1,6,150101,4,2101
1,2,2,10,6,90199,7,4965
1,2,2,1,6,150101,11,2658
2,6,5,21,9,190199,20,0
1,2,2,1,6,150101,19,36107
1,2,2,13,6,130199,1,1790
2,6,5,7,17,40199,11,4573
1,2,2,11,6,100199,23,3833
2,6,5,8,32,50101,22,387248
1,4,3,1,6,150101,6,0
1,2,2,6,6,50199,9,0
2,6,5,18,40,160199,20,0
2,6,5,24,4,220199,19,0
1,2,2,20,6,230199,20,600
2,6,5,8,32,50101,20,0
2,6,5,24,4,220199,13,16000
2,8,5,1,1,210904,2,0
2,6,5,17,1,150303,17,5260
1,2,2,12,6,120199,20,108000
2,6,5,14,26,120101,9,3692
2,6,5,8,32,50101,20,0
1,2,2,21,6,250199,14,24000
1,2,2,8,6,60199,7,200
1,4,3,1,6,150101,19,0
2,6,5,10,20,60199,20,39661
2,6,5,4,16,10199,7,0
1,2,2,3,6,20199,11,333
1,2,2,8,6,60199,20,0
1,1,1,1,6,150101,4,10000
1,2,2,21,6,250199,22,104871
2,6,5,22,12,200199,17,4403
2,6,5,21,9,190199,11,808
1,2,2,5,6,40199,19,4861
2,6,5,6,36,30199,20,1188000
1,2,2,7,6,50699,15,893
2,6,5,7,17,40199,11,42152
1,2,2,20,6,230199,23,2223
1,2,2,14,6,160199,7,9148
1,2,2,3,6,20199,14,30000
2,6,5,7,17,40199,15,26340
2,6,5,12,51,90199,17,15300
1,2,2,21,6,250199,4,1656
2,6,5,23,61,210199,20,109651
2,6,5,23,61,210199,22,1109681
2,6,5,25,4,230199,11,274
1,2,2,13,6,130199,14,36000
1,2,2,14,6,160199,7,14820
2,6,5,26,6,250199,15,9296
2,6,5,18,40,160199,22,1445624
1,2,2,22,6,150101,22,419492
2,6,5,13,0,100101,11,0
1,2,2,16,0,190199,7,1496
2,6,5,21,0,190199,13,541
2,6,5,6,0,30199,21,1288
1,2,2,13,0,130199,7,1496
2,6,5,12,0,90199,15,21277
2,6,5,13,0,100101,7,46352
2,6,5,6,0,30199,15,20526
1,2,2,21,0,250199,12,14400
0,7,4,1,0,150101,21,2000
2,6,5,22,0,200199,7,3420
0,7,4,1,0,150101,4,1760
2,6,5,22,0,200199,21,1511
1,2,2,16,6,190199,7,808
1,2,2,16,6,190199,1,1572
2,6,5,26,6,250199,20,0
2,6,5,17,1,150303,17,0
1,2,2,6,6,50199,20,0
2,6,5,22,12,200199,20,288000
2,6,5,20,2,180199,9,201
1,2,2,22,6,150101,14,0
2,6,5,26,6,250199,20,72000
2,6,5,1,61303,150199,20,516000
1,2,2,18,6,210199,19,9353
2,6,5,26,6,250199,7,12000
2,6,5,5,19,20199,20,7800
2,6,5,19,2,170199,17,5101
2,6,5,21,9,190199,20,5400
2,6,5,11,63,80199,17,34984
2,6,5,21,9,190199,19,5254
2,6,5,27,6,150101,22,1614945
2,6,5,25,4,230199,7,0
2,6,5,14,26,120101,7,600
1,2,2,9,6,80199,17,205
1,2,2,12,6,120199,7,976
1,2,2,3,6,20199,4,300
2,6,5,17,1,150303,9,0
2,6,5,21,9,190199,7,0
1,2,2,22,6,150101,19,0
1,0,0,1,6,150101,19,0
2,6,5,17,1,150303,20,0
2,6,5,6,36,30199,20,0
2,6,5,15,10,130101,13,9000
1,2,2,7,6,50699,7,121346
1,2,2,17,6,200199,22,28518
2,6,5,21,9,190199,9,0
2,6,5,16,1,140199,22,42204
2,6,5,7,17,40199,9,0
1,2,2,21,6,250199,17,230
2,6,5,7,17,40199,7,0
1,2,2,4,6,30199,7,121347
2,6,5,6,36,30199,22,483771
2,6,5,8,32,50101,11,2737
2,6,5,14,26,120101,6,0
1,2,2,11,6,100199,22,34037
2,6,5,24,4,220199,15,6198
1,2,2,3,6,20199,15,1840
1,2,2,10,6,90199,7,121346
1,2,2,15,6,170199,1,414
1,2,2,14,6,160199,4,400
1,2,2,4,6,30199,22,98431
1,2,2,14,6,160199,11,1199
2,6,5,20,2,180199,13,1001
2,6,5,11,63,80199,13,650330
2,6,5,14,26,120101,20,576000
2,6,5,4,16,10199,20,481611
2,6,5,4,16,10199,15,9980
2,6,5,7,17,40199,21,98
2,6,5,10,20,60199,20,0
2,6,5,15,10,130101,11,13625
1,2,2,5,6,40199,17,0
1,2,2,1,6,150101,19,0
1,2,2,1,6,150101,20,0
2,6,5,26,6,250199,9,1565
2,6,5,20,2,180199,20,0
1,1,1,1,6,150101,20,0
2,6,5,4,16,10199,16,0
1,2,2,6,6,50199,20,108000
2,6,5,24,4,220199,7,0
2,6,5,22,12,200199,20,0
2,6,5,14,26,120101,16,0
1,2,2,18,6,210199,7,1220
2,6,5,16,1,140199,20,0
1,2,2,1,6,150101,20,87194
1,2,2,11,6,100199,7,0
1,2,2,13,6,130199,7,0
1,2,2,2,6,10199,15,2877
1,2,2,3,6,20199,15,2691
2,6,5,8,32,50101,20,18600
1,2,2,2,6,10199,22,79114
1,2,2,11,6,100199,14,36000
2,6,5,9,19,50601,7,83141
1,2,2,15,6,170199,20,4666
1,2,2,13,6,130199,15,1809
1,2,2,12,6,120199,11,799
2,6,5,23,61,210199,15,113834
2,6,5,17,1,150303,15,1505
2,6,5,13,41,100101,7,86483
2,6,5,24,4,220199,11,0
2,6,5,10,20,60199,20,612000
1,2,2,21,6,250199,1,230
1,2,2,23,6,150101,4,40381
2,6,5,23,61,210199,7,0
2,6,5,26,6,250199,18,4349
1,2,2,16,6,190199,20,600
1,2,2,21,6,250199,20,0
1,2,2,12,6,120199,7,121346
2,6,5,5,19,20199,13,0
1,2,2,7,6,50699,4,383
2,6,5,9,19,50601,9,0
1,4,3,1,6,150101,19,0
2,6,5,23,61,210199,7,54078
2,6,5,9,19,50601,19,0
1,2,2,5,6,40199,22,36797
1,2,2,13,6,130199,7,3572
2,6,5,17,1,150303,17,555
2,6,5,14,26,120101,21,149
2,6,5,6,36,30199,11,84564
2,5,5,6,0,160704,8,29000
1,2,2,1,6,150101,6,0
1,2,2,1,6,150101,17,18000
1,2,2,10,6,90199,17,115
1,2,2,9,6,80199,7,121346
1,2,2,1,6,150101,20,2816373
2,6,5,12,51,90199,7,0
2,6,5,22,12,200199,19,0
2,6,5,5,19,20199,7,161556
2,6,5,18,40,160199,7,12430
2,6,5,24,4,220199,7,12283
1,2,2,16,6,190199,7,7980
2,6,5,27,6,150101,0,0
2,6,5,4,16,10199,9,287
1,2,2,7,6,50699,4,500
2,6,5,3,0,150101,18,15150
2,6,5,14,26,120101,20,9600
1,2,2,12,6,120199,4,966
2,6,5,3,0,150101,20,9000
2,6,5,9,19,50601,20,592547
2,6,5,26,6,250199,11,21670
1,2,2,9,6,80199,20,2333
2,6,5,18,40,160199,23,0
1,2,2,14,6,160199,1,1150
1,2,2,12,6,120199,20,2333
2,6,5,18,40,160199,13,60150
1,2,2,8,6,60199,23,4204
1,2,2,9,6,80199,7,976
2,6,5,1,61303,150199,22,900580
1,2,2,1,6,150101,15,100322
1,2,2,19,6,220199,4,414
1,2,2,3,6,20199,20,108000
1,2,2,14,6,160199,12,88748
1,0,0,1,6,150101,4,2080
1,2,2,23,6,150101,15,0
1,2,2,2,6,10199,17,0
2,6,5,7,17,40199,11,2181
1,0,0,1,6,150101,19,0
2,6,5,14,26,120101,11,26690
1,2,2,15,6,170199,20,0
1,2,2,11,6,100199,7,121346
2,6,5,14,26,120101,9,16435
1,2,2,11,6,100199,7,3800
2,6,5,11,63,80199,17,12000
2,6,5,13,41,100101,15,60427
2,6,5,7,17,40199,20,0
2,6,5,13,41,100101,18,28271
2,6,5,4,16,10199,9,14305
1,2,2,10,6,90199,4,3450
1,2,2,3,6,20199,17,0
2,6,5,4,16,10199,19,0
2,6,5,11,63,80199,11,16168
2,6,5,11,63,80199,20,0
2,6,5,19,2,170199,15,3010
1,2,2,14,6,160199,20,0
2,6,5,25,4,230199,17,540
2,6,5,6,36,30199,17,4890
1,2,2,16,6,190199,11,250
2,6,5,13,41,100101,11,84722
1,2,2,7,6,50699,15,1645
1,2,2,12,6,120199,19,14067
1,2,2,13,6,130199,23,11173
2,6,5,11,63,80199,7,0
2,6,5,3,0,150101,22,748390
2,6,5,21,0,190199,6,0
2,6,5,21,0,190199,6,0
2,9,5,1,0,210108,2,0
2,6,5,1,0,150199,9,315
1,2,2,23,0,150101,15,10444
1,2,2,11,0,100199,21,523
2,6,5,13,0,100101,21,161
2,6,5,6,0,30199,15,17968
2,6,5,4,0,10199,21,2115
1,2,2,16,0,190199,17,180
2,6,5,25,0,230199,15,2853
2,6,5,16,0,140199,21,151
2,6,5,5,0,20199,21,170
1,2,2,9,0,80199,21,320
1,2,2,5,0,40199,7,2991
2,6,5,26,0,250199,21,99
2,6,5,24,0,220199,19,6844
2,6,5,14,0,120101,13,4039
2,6,5,26,0,250199,13,76000
2,6,5,25,0,230199,7,5794
2,6,5,23,0,210199,11,5389
2,6,5,20,0,180199,21,302
2,6,5,5,0,20199,7,21245
1,2,2,13,0,130199,17,1620
2,6,5,3,0,150101,21,3384
1,2,2,1,0,150101,13,18236
2,6,5,24,0,220199,15,1137
2,6,5,10,0,60199,23,940
2,6,5,8,0,50101,21,4835
2,6,5,8,0,50101,21,1962
2,6,5,6,0,30199,18,26097
2,6,5,2,0,160399,4,15373
2,5,5,9,0,190308,8,12112
1,2,2,14,0,160199,7,1496
2,6,5,21,0,190199,9,12779
2,6,5,17,0,150303,13,180
2,6,5,3,0,150101,19,31447
2,6,5,19,0,170199,7,2250
2,6,5,9,0,50601,15,5569
