PROGRAMA_PPTAL,ACT_OBRA_ACCINV,GRUPO_FN,META,AVAN_FISICO_SEM,UBIGEO,SUBGENERICA_DET,MTO_PIA
2,6,5,25,0,230199,19,6424
2,6,5,26,0,250199,9,3847
2,6,5,15,0,130101,21,50
2,6,5,14,0,120101,21,531
2,6,5,7,0,40199,13,1082
2,6,5,15,0,130101,7,5700
2,6,5,13,0,100101,15,4995
2,6,5,10,0,60199,21,3022
2,6,5,10,0,60199,21,269
2,6,5,5,0,20199,19,13715
1,2,2,20,0,230199,13,2568
2,6,5,26,0,250199,7,5794
2,6,5,7,0,40199,15,7380
2,6,5,9,0,50601,19,13259
2,6,5,8,0,50101,19,34303
2,6,5,8,0,50101,15,18291
2,6,5,24,0,220199,21,604
2,6,5,17,1,150303,23,0
2,6,5,16,1,140199,9,179
1,2,2,20,6,230199,15,1798
1,2,2,7,6,50699,7,575
1,2,2,6,6,50199,17,230
2,6,5,10,20,60199,19,39495
2,6,5,21,9,190199,23,0
1,4,3,1,6,150101,20,4200
2,6,5,24,4,220199,17,720
2,6,5,17,1,150303,13,4000
1,3,2,1,6,150101,20,0
2,6,5,4,16,10199,17,1260
1,2,2,18,6,210199,4,1012
2,6,5,16,1,140199,11,4320
1,2,2,14,6,160199,15,3887
1,2,2,5,6,40199,20,0
1,0,0,1,6,150101,20,0
1,2,2,5,6,40199,20,600
1,2,2,1,6,150101,4,1444
2,6,5,25,4,230199,20,0
1,2,2,22,6,150101,4,16806
2,6,5,9,19,50601,17,10551
1,2,2,11,6,100199,20,108000
0,7,4,1,12429,150101,15,15000
1,2,2,23,6,150101,20,3600
2,6,5,15,10,130101,20,0
1,2,2,7,6,50699,22,80033
1,2,2,3,6,20199,7,732
1,2,2,1,6,150101,12,350000
2,6,5,20,2,180199,15,3099
1,2,2,20,6,230199,20,0
2,6,5,8,32,50101,13,24022
2,6,5,9,19,50601,15,40553
2,6,5,12,51,90199,9,5148
2,6,5,15,10,130101,19,4036
2,6,5,14,26,120101,19,15398
1,2,2,17,6,200199,15,1985
2,6,5,14,26,120101,18,18848
1,2,2,2,6,10199,20,600
2,6,5,11,63,80199,15,15669
1,2,2,23,6,150101,20,474000
2,6,5,20,2,180199,17,3194
2,6,5,13,41,100101,7,0
2,6,5,15,10,130101,17,6109
2,6,5,10,20,60199,11,44048
1,2,2,16,6,190199,4,550
1,0,0,1,6,150101,20,714000
1,2,2,11,6,100199,19,27184
2,6,5,23,61,210199,20,0
2,6,5,5,19,20199,7,51953
2,6,5,1,61303,150199,1,0
2,6,5,25,4,230199,20,1800
2,6,5,8,32,50101,20,1116000
1,2,2,14,6,160199,4,1380
1,2,2,9,6,80199,7,36480
1,2,2,2,6,10199,19,16099
1,2,2,4,6,30199,4,1840
1,2,2,22,6,150101,14,0
1,2,2,11,6,100199,4,333
1,2,2,6,6,50199,7,997
1,2,2,10,6,90199,4,1100
2,6,5,15,10,130101,9,6388
2,6,5,5,19,20199,15,29439
1,2,2,7,6,50699,11,133
2,6,5,6,36,30199,19,28372
2,6,5,14,26,120101,13,14321
2,6,5,4,16,10199,6,0
2,6,5,26,6,250199,17,0
2,6,5,15,10,130101,17,4403
1,2,2,8,6,60199,1,1840
1,4,3,1,6,150101,20,16331
2,6,5,25,4,230199,15,16221
1,2,2,17,6,200199,23,11112
1,2,2,1,6,150101,20,0
2,6,5,14,26,120101,17,8640
2,6,5,21,9,190199,11,17383
1,2,2,4,6,30199,17,0
2,6,5,7,17,40199,19,16178
2,6,5,1,61303,150199,19,12215
2,6,5,10,20,60199,9,17699
1,2,2,6,6,50199,1,698
2,6,5,1,61303,150199,4,158490
2,6,5,19,2,170199,15,3099
2,6,5,4,16,10199,13,28655
1,2,2,4,6,30199,15,4300
2,6,5,5,19,20199,11,3251
1,0,0,1,6,150101,4,4201
2,6,5,16,1,140199,7,0
2,6,5,12,51,90199,18,36970
1,2,2,7,6,50699,14,21600
1,2,2,16,6,190199,7,3642
2,6,5,21,9,190199,11,1478
1,0,0,1,6,150101,20,0
2,6,5,10,20,60199,7,118604
2,6,5,16,1,140199,7,10145
1,2,2,5,6,40199,14,34800
2,6,5,23,61,210199,13,1803
1,2,2,16,6,190199,7,1159
1,2,2,10,6,90199,7,1708
1,2,2,16,6,190199,20,108000
2,6,5,21,9,190199,22,151269
2,6,5,20,2,180199,22,101910
2,6,5,15,10,130101,20,0
1,2,2,20,6,230199,17,50
1,2,2,2,6,10199,7,200
2,6,5,16,1,140199,20,0
2,6,5,8,32,50101,20,72323
1,2,2,1,6,150101,7,36925
2,6,5,12,51,90199,17,55405
1,2,2,9,6,80199,20,108000
2,6,5,13,41,100101,21,205
2,6,5,8,32,50101,19,0
2,6,5,18,40,160199,17,71457
2,6,5,21,9,190199,15,24669
1,2,2,11,6,100199,1,4600
1,2,2,14,6,160199,20,2400
1,2,2,17,6,200199,7,0
1,2,2,11,6,100199,20,600
1,2,2,6,6,50199,7,0
2,6,5,6,36,30199,11,6159
2,6,5,14,26,120101,15,22676
2,6,5,16,1,140199,19,0
1,2,2,19,6,220199,7,0
1,2,2,20,6,230199,17,0
1,2,2,6,6,50199,15,2216
1,2,2,21,6,250199,9,168
1,2,2,14,6,160199,7,121346
2,6,5,26,6,250199,6,0
1,2,2,20,6,230199,7,613
2,6,5,26,6,250199,20,1200
2,6,5,8,32,50101,11,4388
2,6,5,19,2,170199,17,180
1,2,2,5,6,40199,20,0
2,6,5,25,4,230199,15,6198
2,6,5,20,2,180199,20,0
2,6,5,22,12,200199,22,195641
2,6,5,25,4,230199,9,864
2,6,5,27,6,150101,7,43765
1,4,3,1,6,150101,19,0
1,2,2,7,6,50699,23,4857
1,2,2,1,6,150101,20,22800
2,6,5,12,51,90199,11,53191
2,6,5,11,63,80199,15,138176
1,2,2,1,6,150101,13,13859
1,2,2,23,6,150101,7,0
2,6,5,25,4,230199,22,73617
0,7,4,1,12429,150101,4,1040
1,2,2,5,6,40199,15,2510
2,5,5,2,0,100702,8,71227
1,2,2,9,6,80199,7,1600
1,2,2,20,6,230199,20,108000
1,2,2,4,6,30199,7,2280
2,6,5,5,19,20199,13,0
1,2,2,6,6,50199,4,383
2,6,5,15,10,130101,21,63
2,6,5,17,1,150303,15,1549
2,6,5,16,1,140199,17,1158
1,2,2,15,0,170199,7,13657
2,6,5,21,0,190199,15,7153
2,6,5,10,0,60199,7,12000
2,6,5,7,0,40199,7,23176
1,2,2,7,0,50699,17,123
1,2,2,1,0,150101,21,1920
2,6,5,23,0,210199,23,6450
2,6,5,15,0,130101,15,4669
2,6,5,14,0,120101,7,1500
2,6,5,14,0,120101,21,3928
2,6,5,7,0,40199,21,521
1,2,2,18,0,210199,21,133
2,6,5,15,0,130101,21,1662
2,6,5,20,0,180199,19,1027
1,2,2,4,0,30199,21,97
2,6,5,24,0,220199,9,385
2,6,5,22,0,200199,15,751
1,2,2,11,0,100199,9,123
2,6,5,23,0,210199,18,44219
1,2,2,11,0,100199,13,4600
2,6,5,10,0,60199,15,6022
2,6,5,16,1,140199,13,865
1,2,2,1,6,150101,0,20559
2,6,5,14,26,120101,17,5871
1,4,3,1,6,150101,22,533938
1,2,2,10,6,90199,17,0
1,2,2,14,6,160199,19,17709
2,6,5,21,9,190199,16,0
1,2,2,3,6,20199,7,121347
1,2,2,2,6,10199,4,552
1,2,2,19,6,220199,20,0
1,2,2,18,6,210199,20,4666
1,2,2,9,6,80199,19,6095
1,2,2,13,6,130199,4,6026
